id_row,Country Code ISO3,Trade,Year,Amount,Product Classification EN,Country,Region,Latitude,Longitude
125,NA,Import,2022,0.0,Textiles,Ceuta and Melilla,Africa,0.0,0.0
126,NA,Import,2022,0.0,Textiles,Ceuta and Melilla,Africa,0.0,0.0
127,NA,Import,2022,0.0,Textiles,Ceuta and Melilla,Africa,0.0,0.0
128,NA,Export,2022,0.0,Textiles,Melilla,Africa,0.0,0.0
129,NA,Import,2022,0.0,Textiles,Melilla,Africa,0.0,0.0
130,NA,Export,2022,0.0,"Footwear, Headgear, Umbrellas, Walking Sticks",Canary Islands,Europe,0.0,0.0
131,NA,Import,2022,0.0,"Footwear, Headgear, Umbrellas, Walking Sticks",Canary Islands,Europe,0.0,0.0
132,NA,Export,2022,0.0,"Footwear, Headgear, Umbrellas, Walking Sticks",Ceuta and Melilla,Africa,0.0,0.0
133,NA,Import,2022,0.0,"Footwear, Headgear, Umbrellas, Walking Sticks",Ceuta and Melilla,Africa,0.0,0.0
134,NA,Import,2022,0.0,"Footwear, Headgear, Umbrellas, Walking Sticks",Ceuta and Melilla,Africa,0.0,0.0
135,NA,Import,2022,0.0,"Footwear, Headgear, Umbrellas, Walking Sticks",Ceuta and Melilla,Africa,0.0,0.0
136,NA,Export,2022,0.0,"Footwear, Headgear, Umbrellas, Walking Sticks",Melilla,Africa,0.0,0.0
137,NA,Import,2022,0.0,"Footwear, Headgear, Umbrellas, Walking Sticks",Melilla,Africa,0.0,0.0
138,NA,Export,2022,0.0,"Stone, Plaster, Cement, Ceramic, Glass",Canary Islands,Europe,0.0,0.0
139,NA,Import,2022,0.0,"Stone, Plaster, Cement, Ceramic, Glass",Canary Islands,Europe,0.0,0.0
140,NA,Export,2022,0.0,"Stone, Plaster, Cement, Ceramic, Glass",Ceuta and Melilla,Africa,0.0,0.0
141,NA,Import,2022,0.0,"Stone, Plaster, Cement, Ceramic, Glass",Ceuta and Melilla,Africa,0.0,0.0
142,NA,Import,2022,0.0,"Stone, Plaster, Cement, Ceramic, Glass",Ceuta and Melilla,Africa,0.0,0.0
143,NA,Import,2022,0.0,"Stone, Plaster, Cement, Ceramic, Glass",Ceuta and Melilla,Africa,0.0,0.0
144,NA,Export,2022,0.0,"Stone, Plaster, Cement, Ceramic, Glass",Melilla,Africa,0.0,0.0
145,NA,Import,2022,0.0,"Stone, Plaster, Cement, Ceramic, Glass",Melilla,Africa,0.0,0.0
146,NA,Export,2022,0.0,"Precious Materials, Pearls, Precious Stones",Canary Islands,Europe,0.0,0.0
147,NA,Import,2022,0.0,"Precious Materials, Pearls, Precious Stones",Canary Islands,Europe,0.0,0.0
148,NA,Export,2022,0.0,"Precious Materials, Pearls, Precious Stones",Ceuta and Melilla,Africa,0.0,0.0
149,NA,Import,2022,0.0,"Precious Materials, Pearls, Precious Stones",Ceuta and Melilla,Africa,0.0,0.0
150,NA,Import,2022,0.0,"Precious Materials, Pearls, Precious Stones",Ceuta and Melilla,Africa,0.0,0.0
151,NA,Import,2022,0.0,"Precious Materials, Pearls, Precious Stones",Ceuta and Melilla,Africa,0.0,0.0
152,NA,Export,2022,0.0,"Precious Materials, Pearls, Precious Stones",Melilla,Africa,0.0,0.0
153,NA,Import,2022,0.0,"Precious Materials, Pearls, Precious Stones",Melilla,Africa,0.0,0.0
154,NA,Export,2022,0.0,Base Metal,Canary Islands,Europe,0.0,0.0
155,NA,Import,2022,0.0,Base Metal,Canary Islands,Europe,0.0,0.0
156,NA,Export,2022,0.0,Base Metal,Ceuta and Melilla,Africa,0.0,0.0
157,NA,Import,2022,0.0,Base Metal,Ceuta and Melilla,Africa,0.0,0.0
158,NA,Import,2022,0.0,Base Metal,Ceuta and Melilla,Africa,0.0,0.0
159,NA,Import,2022,0.0,Base Metal,Ceuta and Melilla,Africa,0.0,0.0
160,NA,Export,2022,0.0,Base Metal,Melilla,Africa,0.0,0.0
161,NA,Import,2022,0.0,Base Metal,Melilla,Africa,0.0,0.0
162,NA,Export,2022,0.0,"Machinery, Mechanical Applicances, Electrical Equipment",Canary Islands,Europe,0.0,0.0
