id_row,Date,New Business Type,Loan Type,Loan Duration,Other,Rate,Amount
593,200706,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,4.69000005722046,191.0
594,200707,Households,Loans for consumption,Over 5 years,NA,5.82000017166138,62.0
595,200707,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,4.82999992370605,225.0
596,200707,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,5.84000015258789,43.0
597,200707,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,3.98000001907349,22964.0
598,200707,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,3.55999994277954,8667.0
599,200707,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
600,200707,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
601,200707,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
602,200707,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,5.09000015258789,1348.0
603,200707,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,5.09000015258789,6587.0
604,200707,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,5.5,1057.0
605,200708,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
606,200708,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,4.84000015258789,193.0
607,200708,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,5.71000003814697,893.0
608,200708,Households,Loans for consumption,Over 5 years,NA,6.65000009536743,14.0
609,200708,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,5.3600001335144,1122.0
610,200708,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,5.15000009536743,7826.0
611,200708,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,4.07000017166138,26984.0
612,200708,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,3.72000002861023,9496.0
613,200708,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
614,200708,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
615,200708,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,6.28000020980835,14.0
616,200709,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,5.1100001335144,10648.0
617,200709,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
618,200709,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,5.8600001335144,1109.0
619,200709,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,4.90999984741211,167.0
620,200709,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,3.89000010490417,9181.0
621,200709,Households,Loans for consumption,Over 5 years,NA,6.57000017166138,13.0
622,200709,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,4.05999994277954,23381.0
623,200709,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,5.53999996185303,1527.0
624,200709,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,6.26000022888184,13.0
625,200709,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
626,200709,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
627,200710,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,3.92000007629395,35053.0
628,200710,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
629,200710,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,6.32999992370605,16.0
630,200710,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,4.94000005722046,9756.0
631,200710,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,4.92999982833862,243.0
632,200710,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
633,200710,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
634,200710,Households,Loans for consumption,Over 5 years,NA,6.69999980926514,15.0
635,200710,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,5.34999990463257,1818.0
636,200710,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,5.63000011444092,1201.0
637,200710,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,3.8199999332428,9588.0
638,200711,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
639,200711,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,6.28000020980835,15.0
640,200711,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,4.8899998664856,228.0
641,200711,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
642,200711,Households,Loans for consumption,Over 5 years,NA,6.76000022888184,13.0
643,200711,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,4.01999998092651,27454.0
644,200711,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,3.83999991416931,9107.0
645,200711,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
646,200711,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,5.65999984741211,1027.0
647,200711,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,5.26999998092651,1753.0
648,200711,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,4.94000005722046,9269.0
649,200712,Households,Loans for consumption,Over 5 years,NA,6.71000003814697,11.0
650,200712,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,6.28999996185303,11.0
651,200712,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,4.07000017166138,28882.0
652,200712,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
653,200712,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,4.82999992370605,236.0
654,200712,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,5.25,14407.0
655,200712,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,4.05999994277954,8738.0
656,200712,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
657,200712,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
658,200712,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,5.94999980926514,1430.0
659,200712,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,5.53000020980835,2297.0
660,200801,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,3.92000007629395,29511.0
661,200801,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,6.19000005722046,13.0
662,200801,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,3.92000007629395,9742.0
663,200801,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,4.8899998664856,204.0
664,200801,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
665,200801,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,5.09999990463257,11638.0
666,200801,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
667,200801,Households,Loans for consumption,Over 5 years,NA,6.76999998092651,12.0
668,200801,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,5.26000022888184,1816.0
669,200801,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,5.69000005722046,999.0
670,200801,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
671,200802,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,4.90000009536743,182.0
672,200802,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,5.63000011444092,932.0
673,200802,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
674,200802,Households,Loans for consumption,Over 5 years,NA,5.6100001335144,34.0
675,200802,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,5.17999982833862,1438.0
676,200802,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
677,200802,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,4.88000011444092,12186.0
678,200802,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,5.23000001907349,32.0
